                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3596,                 2.5423,                  2.722,                0.08333,                0.00307,                0.04638,                0.02263,                 4.2139,                 2.3293,                 5.7948,                  4e-05,                  4e-05,                  4e-05
                      2,                 1.9733,                  2.269,                 2.5018,                0.08333,                0.00307,                0.04638,                0.02263,                 4.2139,                 2.3293,                 5.7948,              7.525e-05,              7.525e-05,              7.525e-05
                      3,                  2.725,                 2.5734,                 3.0009,                    0.1,                0.00369,                0.05468,                0.02926,                 4.3182,                  2.337,                 5.5612,               8.08e-05,               8.08e-05,               8.08e-05
                      4,                 2.1865,                 2.3704,                 2.6629,                    0.1,                0.00369,                0.05468,                0.02926,                 4.3182,                  2.337,                 5.5612,              5.665e-05,              5.665e-05,              5.665e-05
